FIPS,gop_2000_votes,dem_2000_votes,totalvotes_2000,gop_2000_prc,dem_2000_prc,gop_minus_dem_prc_2000,gop_2004_votes,dem_2004_votes,totalvotes_2004,gop_2004_prc,dem_2004_prc,gop_minus_dem_prc_2004,gop_2008_votes,dem_2008_votes,totalvotes_2008,gop_2008_prc,dem_2008_prc,gop_minus_dem_prc_2008,gop_2012_votes,dem_2012_votes,totalvotes_2012,gop_2012_prc,dem_2012_prc,gop_minus_dem_prc_2012,gop_2016_votes,dem_2016_votes,totalvotes_2016,gop_2016_prc,dem_2016_prc,gop_minus_dem_prc_2016
02705,3545.00,1931.00,6437.00,55.07,30.00,25.07,5439.00,4679.00,10609.00,51.27,44.10,7.17,3426.00,3393.00,7123.00,48.10,47.63,0.47,4027.00,3644.00,8143.00,49.45,44.75,4.70,3683.00,3187.00,7906.00,46.58,40.31,6.27
02706,3862.00,1542.00,6100.00,63.31,25.28,38.03,6177.00,3728.00,10310.00,59.91,36.16,23.75,4234.00,2351.00,6824.00,62.05,34.45,27.60,5254.00,2145.00,7793.00,67.42,27.52,39.90,4929.00,2536.00,8460.00,58.26,29.98,28.28
02707,4868.00,1893.00,8677.00,56.10,21.82,34.28,7693.00,5008.00,13221.00,58.19,37.88,20.31,6297.00,4283.00,10894.00,57.80,39.32,18.48,5247.00,1962.00,7575.00,69.27,25.90,43.37,5935.00,1510.00,8294.00,71.56,18.21,53.35
02708,5371.00,1498.00,7978.00,67.32,18.78,48.54,6615.00,5758.00,12942.00,51.11,44.49,6.62,4983.00,4995.00,10320.00,48.28,48.40,-0.12,5826.00,2083.00,8242.00,70.69,25.27,45.42,6126.00,1218.00,8073.00,75.88,15.09,60.79
02709,4789.00,1203.00,6800.00,70.43,17.69,52.74,6934.00,4177.00,11486.00,60.37,36.37,24.00,4141.00,2805.00,7143.00,57.97,39.27,18.70,5432.00,1667.00,7408.00,73.33,22.50,50.83,6100.00,1843.00,8954.00,68.13,20.58,47.55
02710,5673.00,2194.00,8884.00,63.86,24.70,39.16,6745.00,3670.00,10750.00,62.74,34.14,28.60,3392.00,2074.00,5615.00,60.41,36.94,23.47,4928.00,1344.00,6570.00,75.01,20.46,54.55,6255.00,1808.00,9040.00,69.19,20.00,49.19
02711,3960.00,2043.00,6980.00,56.73,29.27,27.46,9280.00,3364.00,13025.00,71.25,25.83,45.42,7736.00,1924.00,9866.00,78.41,19.50,58.91,6057.00,2222.00,8631.00,70.18,25.74,44.44,6444.00,2142.00,9689.00,66.51,22.11,44.40
02712,4626.00,2051.00,7601.00,60.86,26.98,33.88,8108.00,3387.00,11845.00,68.45,28.59,39.86,5467.00,1914.00,7589.00,72.04,25.22,46.82,4300.00,1901.00,6482.00,66.34,29.33,37.01,6629.00,1928.00,9543.00,69.46,20.20,49.26
02713,3853.00,2661.00,7943.00,48.51,33.50,15.01,10702.00,4819.00,16012.00,66.84,30.10,36.74,8432.00,2800.00,11526.00,73.16,24.29,48.87,3078.00,2425.00,5707.00,53.93,42.49,11.44,4028.00,1684.00,6533.00,61.66,25.78,35.88
02714,3750.00,1626.00,5868.00,63.91,27.71,36.20,10717.00,4403.00,15548.00,68.93,28.32,40.61,8108.00,2132.00,10456.00,77.54,20.39,57.15,3453.00,3340.00,7068.00,48.85,47.26,1.59,5978.00,3043.00,10420.00,57.37,29.20,28.17
