FIPS,Median household income - Household Income_2012,Median household income - Household Income_2013,Median household income - Household Income_2014
45043,38340.0,40864.0,40962.0
45045,45666.0,48480.0,47044.0
45047,35619.0,37038.0,37187.0
45049,33367.0,31915.0,32934.0
45051,40697.0,38807.0,40249.0
45053,35533.0,34927.0,35692.0
45055,42174.0,41055.0,46019.0
45057,38312.0,40372.0,43479.0
45059,36345.0,35839.0,36483.0
45061,29756.0,28733.0,30053.0
45063,51523.0,50738.0,52249.0
45065,34963.0,35209.0,39413.0
45067,27917.0,27726.0,29140.0
45069,28630.0,28662.0,28927.0
45071,39054.0,38024.0,38808.0
45073,42671.0,42142.0,42062.0
45075,32699.0,31605.0,33796.0
45077,40110.0,40221.0,39823.0
45079,45944.0,45182.0,47606.0
45081,39570.0,39689.0,41552.0
45083,41888.0,40687.0,41327.0
45085,36554.0,40858.0,39014.0
45087,34125.0,33981.0,32717.0
45089,28083.0,27750.0,28121.0
45091,51403.0,51017.0,51427.0
46003,43934.0,45615.0,46581.0
46005,39504.0,43803.0,46072.0
46007,31183.0,31712.0,33784.0
46009,41580.0,41711.0,41217.0
46011,48290.0,48233.0,49554.0
46013,47803.0,50115.0,52239.0
46015,42604.0,45265.0,47417.0
46017,20577.0,21269.0,25179.0
46019,38767.0,39615.0,41328.0
46021,38767.0,40855.0,46053.0
46023,35122.0,37448.0,37422.0
46025,42413.0,43496.0,47901.0
46027,40492.0,39870.0,38484.0
46029,44999.0,47282.0,47400.0
46031,27233.0,28770.0,31312.0
46033,46565.0,49649.0,49902.0
46035,40972.0,47100.0,48941.0
46037,37186.0,39223.0,41634.0
46039,45772.0,45700.0,48946.0
46041,31374.0,33902.0,33976.0
46043,42472.0,46224.0,49476.0
46045,48588.0,49467.0,55098.0
46047,36993.0,39444.0,38397.0
46049,42633.0,43030.0,46371.0
46051,45436.0,47131.0,47740.0
46053,31962.0,33991.0,35483.0
46055,38900.0,44653.0,44826.0
46057,49091.0,50864.0,52404.0
46059,43683.0,41975.0,50424.0
46061,53987.0,57519.0,60052.0
46063,37407.0,42575.0,48342.0
46065,54989.0,60677.0,55273.0
46067,41592.0,46309.0,45791.0
46069,38926.0,44997.0,50469.0
46071,30499.0,31854.0,38582.0
46073,37924.0,47433.0,45494.0
46075,38019.0,40171.0,44491.0
46077,47775.0,46244.0,48628.0
46079,46388.0,49893.0,50089.0
46081,45424.0,42495.0,42927.0
46083,74100.0,76907.0,78360.0
46085,39774.0,37914.0,40874.0
46087,44915.0,51365.0,49638.0
46089,35675.0,35473.0,38211.0
46091,40437.0,44849.0,47765.0
46093,48120.0,50985.0,51427.0
46095,30003.0,30170.0,32164.0
46097,45947.0,44316.0,46311.0
46099,49954.0,51431.0,48932.0
46101,47162.0,50307.0,51945.0
46103,45999.0,48083.0,49033.0
46105,31033.0,37919.0,38695.0
46107,44502.0,45851.0,47805.0
46109,39057.0,41407.0,40759.0
46111,43361.0,47141.0,44800.0
46113,27307.0,27200.0,28406.0
46115,44272.0,44455.0,48823.0
46117,50944.0,53986.0,54512.0
46119,48026.0,55194.0,56221.0
46121,26393.0,26639.0,28943.0
46123,36390.0,38360.0,41905.0
46125,47912.0,50469.0,52447.0
46127,65142.0,66242.0,64772.0
46129,37506.0,39920.0,40622.0
46135,45297.0,48147.0,48284.0
46137,25669.0,28350.0,30856.0
47001,45917.0,41694.0,41038.0
47003,39057.0,39552.0,41726.0
47005,32346.0,32527.0,33560.0
47007,33366.0,33500.0,32591.0
47009,41736.0,45539.0,46100.0
47011,38558.0,38667.0,39821.0
47013,31699.0,29044.0,32895.0
47015,36246.0,36959.0,39262.0
47017,34566.0,34979.0,35591.0
47019,31145.0,33772.0,33094.0
47021,51106.0,50225.0,51557.0
47023,39492.0,38749.0,40064.0
47025,29227.0,34454.0,33022.0
47027,28014.0,27978.0,29052.0
47029,28832.0,30092.0,30141.0
47031,39321.0,35571.0,41328.0
47033,37945.0,34474.0,35838.0
47035,36214.0,35873.0,39522.0
47037,43825.0,43893.0,44864.0
47039,35134.0,34400.0,37167.0
47041,35726.0,37136.0,35688.0
47043,43353.0,43019.0,43501.0
47045,36735.0,37766.0,38121.0
47047,53935.0,49760.0,52163.0
47049,29088.0,28666.0,28388.0
47051,40247.0,39935.0,42066.0
47053,35711.0,36365.0,35807.0
47055,35466.0,39916.0,38251.0
47057,33291.0,34077.0,35278.0
47059,34649.0,32880.0,34964.0
47061,27494.0,27428.0,27915.0
47063,38711.0,35630.0,36787.0
47065,44132.0,42609.0,47369.0
47067,24891.0,25297.0,25301.0
47069,31747.0,31437.0,32556.0
47071,31883.0,31281.0,35154.0
47073,37164.0,37095.0,36318.0
47075,34310.0,32422.0,32614.0
47077,36347.0,36392.0,36983.0
47079,36247.0,35270.0,35892.0
47081,35948.0,35094.0,36356.0
47083,35739.0,36858.0,37311.0
